SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
PIBCNE;1985-01-01T00:00:00-02:00;37372.4611533118;Estados;16
PIBCNE;1985-01-01T00:00:00-02:00;53613.4852323976;Estados;14
PIBCNE;1985-01-01T00:00:00-02:00;91451.1677806432;Estados;12
PIBCNE;1985-01-01T00:00:00-02:00;171467.799271519;Estados;22
PIBCNE;1985-01-01T00:00:00-02:00;337291.163012298;Estados;11
PIBCNE;1985-01-01T00:00:00-02:00;354366.78516114;Estados;21
PIBCNE;1985-01-01T00:00:00-02:00;397615.088989188;Estados;51
PIBCNE;1985-01-01T00:00:00-02:00;482225.224561587;Estados;27
PIBCNE;1985-01-01T00:00:00-02:00;489990.666123001;Estados;25
PIBCNE;1985-01-01T00:00:00-02:00;522593.09304989;Estados;24
PIBCNE;1985-01-01T00:00:00-02:00;594179.550815287;Estados;53
PIBCNE;1985-01-01T00:00:00-02:00;623492.569788326;Estados;50
PIBCNE;1985-01-01T00:00:00-02:00;627417.373389161;Estados;28
PIBCNE;1985-01-01T00:00:00-02:00;662074.578407721;Estados;13
PIBCNE;1985-01-01T00:00:00-02:00;854211.908807969;Estados;32
PIBCNE;1985-01-01T00:00:00-02:00;961556.633370181;Estados;42
PIBCNE;1985-01-01T00:00:00-02:00;1143118.66181013;Estados;23
PIBCNE;1985-01-01T00:00:00-02:00;1408669.31576111;Estados;15
PIBCNE;1985-01-01T00:00:00-02:00;1656729.53745495;Estados;52
PIBCNE;1985-01-01T00:00:00-02:00;1738209.48319337;Estados;26
PIBCNE;1985-01-01T00:00:00-02:00;2590472.171347481;Regiões;1
PIBCNE;1985-01-01T00:00:00-02:00;2662804.76481954;Estados;43
PIBCNE;1985-01-01T00:00:00-02:00;2870808.02439302;Estados;29
PIBCNE;1985-01-01T00:00:00-02:00;3127638.74725728;Estados;41
PIBCNE;1985-01-01T00:00:00-02:00;3272016.747047751;Regiões;5
PIBCNE;1985-01-01T00:00:00-02:00;5181199.01786338;Estados;31
PIBCNE;1985-01-01T00:00:00-02:00;5965712.1349762;Estados;33
PIBCNE;1985-01-01T00:00:00-02:00;6752000.145447001;Regiões;4
PIBCNE;1985-01-01T00:00:00-02:00;8400197.110952817;Regiões;2
PIBCNE;1985-01-01T00:00:00-02:00;14325430.2493915;Estados;35
PIBCNE;1985-01-01T00:00:00-02:00;26326553.311039045;Regiões;3
PIBCNE;1985-01-01T00:00:00-02:00;47341239.48583411;Brasil;0
PIBCNE;1986-01-01T00:00:00-02:00;43387.3567293166;Estados;16
PIBCNE;1986-01-01T00:00:00-02:00;60802.4464668883;Estados;14
PIBCNE;1986-01-01T00:00:00-02:00;135454.965417761;Estados;12
PIBCNE;1986-01-01T00:00:00-02:00;234307.395937719;Estados;22
PIBCNE;1986-01-01T00:00:00-02:00;425292.860137896;Estados;21
PIBCNE;1986-01-01T00:00:00-02:00;465965.958301523;Estados;11
PIBCNE;1986-01-01T00:00:00-02:00;500633.629206299;Estados;51
PIBCNE;1986-01-01T00:00:00-02:00;726637.796737293;Estados;27
PIBCNE;1986-01-01T00:00:00-02:00;732186.179949594;Estados;24
PIBCNE;1986-01-01T00:00:00-02:00;754138.960192936;Estados;25
PIBCNE;1986-01-01T00:00:00-02:00;782205.683052304;Estados;53
PIBCNE;1986-01-01T00:00:00-02:00;783574.928672403;Estados;28
PIBCNE;1986-01-01T00:00:00-02:00;888018.978525347;Estados;13
PIBCNE;1986-01-01T00:00:00-02:00;888541.381357599;Estados;50
PIBCNE;1986-01-01T00:00:00-02:00;1272389.95394954;Estados;32
PIBCNE;1986-01-01T00:00:00-02:00;1344189.21711389;Estados;42
PIBCNE;1986-01-01T00:00:00-02:00;1591282.88029126;Estados;23
PIBCNE;1986-01-01T00:00:00-02:00;1607206.25012574;Estados;15
PIBCNE;1986-01-01T00:00:00-02:00;2292592.71749399;Estados;52
PIBCNE;1986-01-01T00:00:00-02:00;2306206.52882898;Estados;26
PIBCNE;1986-01-01T00:00:00-02:00;3200835.9555665758;Regiões;1
PIBCNE;1986-01-01T00:00:00-02:00;3207027.07367058;Estados;43
PIBCNE;1986-01-01T00:00:00-02:00;4043402.09091406;Estados;29
PIBCNE;1986-01-01T00:00:00-02:00;4463973.411110193;Regiões;5
PIBCNE;1986-01-01T00:00:00-02:00;4543969.59066004;Estados;41
PIBCNE;1986-01-01T00:00:00-02:00;7125207.30567413;Estados;31
PIBCNE;1986-01-01T00:00:00-02:00;7419178.69849736;Estados;33
PIBCNE;1986-01-01T00:00:00-02:00;9095185.88144451;Regiões;4
PIBCNE;1986-01-01T00:00:00-02:00;11597029.62166214;Regiões;2
PIBCNE;1986-01-01T00:00:00-02:00;17582730.0642447;Estados;35
PIBCNE;1986-01-01T00:00:00-02:00;33399506.02236573;Regiões;3
PIBCNE;1986-01-01T00:00:00-02:00;61756530.89214915;Brasil;0
PIBCNE;1987-01-01T00:00:00-02:00;42058.8131930739;Estados;16
PIBCNE;1987-01-01T00:00:00-02:00;56186.1376054619;Estados;14
PIBCNE;1987-01-01T00:00:00-02:00;103603.521988454;Estados;12
PIBCNE;1987-01-01T00:00:00-02:00;206525.260806243;Estados;22
PIBCNE;1987-01-01T00:00:00-02:00;421178.380948105;Estados;51
PIBCNE;1987-01-01T00:00:00-02:00;467728.813508816;Estados;21
PIBCNE;1987-01-01T00:00:00-02:00;534601.326823897;Estados;11
PIBCNE;1987-01-01T00:00:00-02:00;640558.290730236;Estados;25
PIBCNE;1987-01-01T00:00:00-02:00;643727.067309065;Estados;53
PIBCNE;1987-01-01T00:00:00-02:00;646245.11967229;Estados;28
PIBCNE;1987-01-01T00:00:00-02:00;682946.569830224;Estados;50
PIBCNE;1987-01-01T00:00:00-02:00;738667.833323688;Estados;27
PIBCNE;1987-01-01T00:00:00-02:00;847379.178152371;Estados;24
PIBCNE;1987-01-01T00:00:00-02:00;899228.820749036;Estados;42
PIBCNE;1987-01-01T00:00:00-02:00;955797.181095876;Estados;13
PIBCNE;1987-01-01T00:00:00-02:00;985584.832661819;Estados;32
PIBCNE;1987-01-01T00:00:00-02:00;1282101.76437925;Estados;23
PIBCNE;1987-01-01T00:00:00-02:00;1588993.54541668;Estados;52
PIBCNE;1987-01-01T00:00:00-02:00;1615153.48663877;Estados;15
PIBCNE;1987-01-01T00:00:00-02:00;1999332.86501243;Estados;26
PIBCNE;1987-01-01T00:00:00-02:00;2292093.97068697;Estados;29
PIBCNE;1987-01-01T00:00:00-02:00;3307400.4673455325;Regiões;1
PIBCNE;1987-01-01T00:00:00-02:00;3336845.563504074;Regiões;5
PIBCNE;1987-01-01T00:00:00-02:00;3547066.85239804;Estados;43
PIBCNE;1987-01-01T00:00:00-02:00;4451621.5578545;Estados;41
PIBCNE;1987-01-01T00:00:00-02:00;7221286.92928053;Estados;31
PIBCNE;1987-01-01T00:00:00-02:00;7261495.08037455;Estados;33
PIBCNE;1987-01-01T00:00:00-02:00;8897917.231001575;Regiões;4
PIBCNE;1987-01-01T00:00:00-02:00;9120633.096272293;Regiões;2
PIBCNE;1987-01-01T00:00:00-02:00;17143800.8740778;Estados;35
PIBCNE;1987-01-01T00:00:00-02:00;32612167.7163947;Regiões;3
PIBCNE;1987-01-01T00:00:00-02:00;57274964.074518174;Brasil;0
PIBCNE;1988-01-01T00:00:00-02:00;48325.9667790598;Estados;16
PIBCNE;1988-01-01T00:00:00-02:00;64171.2571409409;Estados;14
PIBCNE;1988-01-01T00:00:00-02:00;121138.292613341;Estados;12
PIBCNE;1988-01-01T00:00:00-02:00;242982.414941573;Estados;22
PIBCNE;1988-01-01T00:00:00-02:00;485521.330976908;Estados;51
PIBCNE;1988-01-01T00:00:00-02:00;545083.862208113;Estados;28
PIBCNE;1988-01-01T00:00:00-02:00;546483.324282282;Estados;11
PIBCNE;1988-01-01T00:00:00-02:00;548183.688519064;Estados;21
PIBCNE;1988-01-01T00:00:00-02:00;581581.840418515;Estados;25
PIBCNE;1988-01-01T00:00:00-02:00;602128.253940814;Estados;24
PIBCNE;1988-01-01T00:00:00-02:00;694643.255287608;Estados;53
PIBCNE;1988-01-01T00:00:00-02:00;697850.777852093;Estados;50
PIBCNE;1988-01-01T00:00:00-02:00;732302.068387606;Estados;27
PIBCNE;1988-01-01T00:00:00-02:00;1087181.95166626;Estados;13
PIBCNE;1988-01-01T00:00:00-02:00;1245549.67133625;Estados;42
PIBCNE;1988-01-01T00:00:00-02:00;1261241.51397093;Estados;32
PIBCNE;1988-01-01T00:00:00-02:00;1764436.42585013;Estados;23
PIBCNE;1988-01-01T00:00:00-02:00;1871257.82222517;Estados;15
PIBCNE;1988-01-01T00:00:00-02:00;1879808.30798805;Estados;52
PIBCNE;1988-01-01T00:00:00-02:00;1884973.98299739;Estados;26
PIBCNE;1988-01-01T00:00:00-02:00;2199138.0879225;Estados;29
PIBCNE;1988-01-01T00:00:00-02:00;3305252.76030709;Estados;43
PIBCNE;1988-01-01T00:00:00-02:00;3738558.6147070536;Regiões;1
PIBCNE;1988-01-01T00:00:00-02:00;3757823.672104659;Regiões;5
PIBCNE;1988-01-01T00:00:00-02:00;5619913.09889502;Estados;41
PIBCNE;1988-01-01T00:00:00-02:00;6408901.87665611;Estados;31
PIBCNE;1988-01-01T00:00:00-02:00;8006145.59774451;Estados;33
PIBCNE;1988-01-01T00:00:00-02:00;9100810.625185704;Regiões;2
PIBCNE;1988-01-01T00:00:00-02:00;10170715.53053836;Regiões;4
PIBCNE;1988-01-01T00:00:00-02:00;19396957.8288621;Estados;35
PIBCNE;1988-01-01T00:00:00-02:00;35073246.81723365;Regiões;3
PIBCNE;1988-01-01T00:00:00-02:00;61841155.25976942;Brasil;0
PIBCNE;1989-01-01T00:00:00-02:00;1157.5919810637;Estados;17
PIBCNE;1989-01-01T00:00:00-02:00;49036.206557782;Estados;16
PIBCNE;1989-01-01T00:00:00-02:00;64973.6930349041;Estados;14
PIBCNE;1989-01-01T00:00:00-02:00;122814.092192539;Estados;12
PIBCNE;1989-01-01T00:00:00-02:00;297929.946194737;Estados;22
PIBCNE;1989-01-01T00:00:00-02:00;490055.599028333;Estados;21
PIBCNE;1989-01-01T00:00:00-02:00;516598.106619886;Estados;25
PIBCNE;1989-01-01T00:00:00-02:00;549153.091867227;Estados;51
PIBCNE;1989-01-01T00:00:00-02:00;573062.007070243;Estados;11
PIBCNE;1989-01-01T00:00:00-02:00;582081.451538418;Estados;27
PIBCNE;1989-01-01T00:00:00-02:00;620578.994945981;Estados;28
PIBCNE;1989-01-01T00:00:00-02:00;670201.021471389;Estados;24
PIBCNE;1989-01-01T00:00:00-02:00;747537.013685807;Estados;53
PIBCNE;1989-01-01T00:00:00-02:00;879762.209853097;Estados;50
PIBCNE;1989-01-01T00:00:00-02:00;1114711.22751787;Estados;13
PIBCNE;1989-01-01T00:00:00-02:00;1578384.78800009;Estados;42
PIBCNE;1989-01-01T00:00:00-02:00;1674063.62553007;Estados;52
PIBCNE;1989-01-01T00:00:00-02:00;1770519.42223578;Estados;32
PIBCNE;1989-01-01T00:00:00-02:00;1895759.69827141;Estados;15
PIBCNE;1989-01-01T00:00:00-02:00;1919116.27048712;Estados;23
PIBCNE;1989-01-01T00:00:00-02:00;2425188.20819768;Estados;26
PIBCNE;1989-01-01T00:00:00-02:00;2956519.24249927;Estados;29
PIBCNE;1989-01-01T00:00:00-02:00;3821514.516625812;Regiões;1
PIBCNE;1989-01-01T00:00:00-02:00;3850515.9409362013;Regiões;5
PIBCNE;1989-01-01T00:00:00-02:00;5002298.93302194;Estados;43
PIBCNE;1989-01-01T00:00:00-02:00;7168528.09744763;Estados;41
PIBCNE;1989-01-01T00:00:00-02:00;8834733.00978332;Estados;31
PIBCNE;1989-01-01T00:00:00-02:00;9851478.29927425;Estados;33
PIBCNE;1989-01-01T00:00:00-02:00;10478268.840982813;Regiões;2
PIBCNE;1989-01-01T00:00:00-02:00;13749211.81846966;Regiões;4
PIBCNE;1989-01-01T00:00:00-02:00;21953498.4030353;Estados;35
PIBCNE;1989-01-01T00:00:00-02:00;42410229.134328656;Regiões;3
PIBCNE;1989-01-01T00:00:00-02:00;74309740.25134315;Brasil;0
PIBCNE;1990-01-01T00:00:00-02:00;1205.9966449765;Estados;17
PIBCNE;1990-01-01T00:00:00-02:00;35110.3459692807;Estados;16
PIBCNE;1990-01-01T00:00:00-02:00;47062.0943834209;Estados;14
PIBCNE;1990-01-01T00:00:00-02:00;89891.8355411461;Estados;12
PIBCNE;1990-01-01T00:00:00-02:00;187758.002345118;Estados;22
PIBCNE;1990-01-01T00:00:00-02:00;398998.525200513;Estados;21
PIBCNE;1990-01-01T00:00:00-02:00;413470.821519838;Estados;11
PIBCNE;1990-01-01T00:00:00-02:00;438508.105261201;Estados;51
PIBCNE;1990-01-01T00:00:00-02:00;502805.199063889;Estados;27
PIBCNE;1990-01-01T00:00:00-02:00;523917.698328313;Estados;28
PIBCNE;1990-01-01T00:00:00-02:00;542443.45203143;Estados;25
PIBCNE;1990-01-01T00:00:00-02:00;620351.738137543;Estados;24
PIBCNE;1990-01-01T00:00:00-02:00;739781.787543702;Estados;50
PIBCNE;1990-01-01T00:00:00-02:00;830866.20553193;Estados;13
PIBCNE;1990-01-01T00:00:00-02:00;836539.558253169;Estados;53
PIBCNE;1990-01-01T00:00:00-02:00;1156631.59708717;Estados;42
PIBCNE;1990-01-01T00:00:00-02:00;1178192.42635716;Estados;52
PIBCNE;1990-01-01T00:00:00-02:00;1202802.56127571;Estados;32
PIBCNE;1990-01-01T00:00:00-02:00;1396387.27355463;Estados;15
PIBCNE;1990-01-01T00:00:00-02:00;1442862.83535457;Estados;23
PIBCNE;1990-01-01T00:00:00-02:00;1794234.45774374;Estados;26
