SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
PIBPOP;1985-01-01T00:00:00-02:00;142029.0;Estados;14
PIBPOP;1985-01-01T00:00:00-02:00;227097.0;Estados;16
PIBPOP;1985-01-01T00:00:00-02:00;354176.0;Estados;12
PIBPOP;1985-01-01T00:00:00-02:00;782482.0;Estados;11
PIBPOP;1985-01-01T00:00:00-02:00;1299881.0;Estados;28
PIBPOP;1985-01-01T00:00:00-02:00;1369580.0;Estados;53
PIBPOP;1985-01-01T00:00:00-02:00;1542249.0;Estados;51
PIBPOP;1985-01-01T00:00:00-02:00;1556147.0;Estados;50
PIBPOP;1985-01-01T00:00:00-02:00;1735823.0;Estados;13
PIBPOP;1985-01-01T00:00:00-02:00;2133163.0;Estados;24
PIBPOP;1985-01-01T00:00:00-02:00;2223992.0;Estados;27
PIBPOP;1985-01-01T00:00:00-02:00;2285529.0;Estados;32
PIBPOP;1985-01-01T00:00:00-02:00;2340276.0;Estados;22
PIBPOP;1985-01-01T00:00:00-02:00;2965900.0;Estados;25
PIBPOP;1985-01-01T00:00:00-02:00;4043082.0;Estados;42
PIBPOP;1985-01-01T00:00:00-02:00;4105858.0;Estados;15
PIBPOP;1985-01-01T00:00:00-02:00;4349737.0;Estados;52
PIBPOP;1985-01-01T00:00:00-02:00;4420540.0;Estados;21
PIBPOP;1985-01-01T00:00:00-02:00;5778039.0;Estados;23
PIBPOP;1985-01-01T00:00:00-02:00;6590451.0;Estados;26
PIBPOP;1985-01-01T00:00:00-02:00;7347465.0;Regiões;1
PIBPOP;1985-01-01T00:00:00-02:00;8001512.0;Estados;41
PIBPOP;1985-01-01T00:00:00-02:00;8393718.0;Estados;43
PIBPOP;1985-01-01T00:00:00-02:00;8817713.0;Regiões;5
PIBPOP;1985-01-01T00:00:00-02:00;10550577.0;Estados;29
PIBPOP;1985-01-01T00:00:00-02:00;11980142.0;Estados;33
PIBPOP;1985-01-01T00:00:00-02:00;14452508.0;Estados;31
PIBPOP;1985-01-01T00:00:00-02:00;20438312.0;Regiões;4
PIBPOP;1985-01-01T00:00:00-02:00;28014784.0;Estados;35
PIBPOP;1985-01-01T00:00:00-02:00;38302819.0;Regiões;2
PIBPOP;1985-01-01T00:00:00-02:00;56732963.0;Regiões;3
PIBPOP;1985-01-01T00:00:00-02:00;131639272.0;Brasil;0
PIBPOP;1986-01-01T00:00:00-02:00;154910.0;Estados;14
PIBPOP;1986-01-01T00:00:00-02:00;237719.0;Estados;16
PIBPOP;1986-01-01T00:00:00-02:00;365010.0;Estados;12
PIBPOP;1986-01-01T00:00:00-02:00;842192.0;Estados;11
PIBPOP;1986-01-01T00:00:00-02:00;1332616.0;Estados;28
PIBPOP;1986-01-01T00:00:00-02:00;1409053.0;Estados;53
PIBPOP;1986-01-01T00:00:00-02:00;1594377.0;Estados;50
PIBPOP;1986-01-01T00:00:00-02:00;1624937.0;Estados;51
PIBPOP;1986-01-01T00:00:00-02:00;1798467.0;Estados;13
PIBPOP;1986-01-01T00:00:00-02:00;2181312.0;Estados;24
PIBPOP;1986-01-01T00:00:00-02:00;2273455.0;Estados;27
PIBPOP;1986-01-01T00:00:00-02:00;2339251.0;Estados;32
PIBPOP;1986-01-01T00:00:00-02:00;2381513.0;Estados;22
PIBPOP;1986-01-01T00:00:00-02:00;3006003.0;Estados;25
PIBPOP;1986-01-01T00:00:00-02:00;4128146.0;Estados;42
PIBPOP;1986-01-01T00:00:00-02:00;4249793.0;Estados;15
PIBPOP;1986-01-01T00:00:00-02:00;4450165.0;Estados;52
PIBPOP;1986-01-01T00:00:00-02:00;4507445.0;Estados;21
PIBPOP;1986-01-01T00:00:00-02:00;5878395.0;Estados;23
PIBPOP;1986-01-01T00:00:00-02:00;6682077.0;Estados;26
PIBPOP;1986-01-01T00:00:00-02:00;7648091.0;Regiões;1
PIBPOP;1986-01-01T00:00:00-02:00;8077759.0;Estados;41
PIBPOP;1986-01-01T00:00:00-02:00;8520731.0;Estados;43
PIBPOP;1986-01-01T00:00:00-02:00;9078532.0;Regiões;5
PIBPOP;1986-01-01T00:00:00-02:00;10775194.0;Estados;29
PIBPOP;1986-01-01T00:00:00-02:00;12121241.0;Estados;33
PIBPOP;1986-01-01T00:00:00-02:00;14672561.0;Estados;31
PIBPOP;1986-01-01T00:00:00-02:00;20726636.0;Regiões;4
PIBPOP;1986-01-01T00:00:00-02:00;28624170.0;Estados;35
PIBPOP;1986-01-01T00:00:00-02:00;39018010.0;Regiões;2
PIBPOP;1986-01-01T00:00:00-02:00;57757223.0;Regiões;3
PIBPOP;1986-01-01T00:00:00-02:00;134228492.0;Brasil;0
PIBPOP;1987-01-01T00:00:00-02:00;167608.0;Estados;14
PIBPOP;1987-01-01T00:00:00-02:00;248190.0;Estados;16
PIBPOP;1987-01-01T00:00:00-02:00;375689.0;Estados;12
PIBPOP;1987-01-01T00:00:00-02:00;901050.0;Estados;11
PIBPOP;1987-01-01T00:00:00-02:00;1364883.0;Estados;28
PIBPOP;1987-01-01T00:00:00-02:00;1447962.0;Estados;53
PIBPOP;1987-01-01T00:00:00-02:00;1632061.0;Estados;50
PIBPOP;1987-01-01T00:00:00-02:00;1706445.0;Estados;51
PIBPOP;1987-01-01T00:00:00-02:00;1860217.0;Estados;13
PIBPOP;1987-01-01T00:00:00-02:00;2228774.0;Estados;24
PIBPOP;1987-01-01T00:00:00-02:00;2322212.0;Estados;27
PIBPOP;1987-01-01T00:00:00-02:00;2392206.0;Estados;32
PIBPOP;1987-01-01T00:00:00-02:00;2422161.0;Estados;22
PIBPOP;1987-01-01T00:00:00-02:00;3045534.0;Estados;25
PIBPOP;1987-01-01T00:00:00-02:00;4211994.0;Estados;42
PIBPOP;1987-01-01T00:00:00-02:00;4391673.0;Estados;15
PIBPOP;1987-01-01T00:00:00-02:00;4549160.0;Estados;52
PIBPOP;1987-01-01T00:00:00-02:00;4593109.0;Estados;21
PIBPOP;1987-01-01T00:00:00-02:00;5977319.0;Estados;23
PIBPOP;1987-01-01T00:00:00-02:00;6772395.0;Estados;26
PIBPOP;1987-01-01T00:00:00-02:00;7944427.0;Regiões;1
PIBPOP;1987-01-01T00:00:00-02:00;8152917.0;Estados;41
PIBPOP;1987-01-01T00:00:00-02:00;8645930.0;Estados;43
PIBPOP;1987-01-01T00:00:00-02:00;9335628.0;Regiões;5
PIBPOP;1987-01-01T00:00:00-02:00;10996603.0;Estados;29
PIBPOP;1987-01-01T00:00:00-02:00;12260324.0;Estados;33
PIBPOP;1987-01-01T00:00:00-02:00;14889471.0;Estados;31
PIBPOP;1987-01-01T00:00:00-02:00;21010841.0;Regiões;4
PIBPOP;1987-01-01T00:00:00-02:00;29224852.0;Estados;35
PIBPOP;1987-01-01T00:00:00-02:00;39722990.0;Regiões;2
PIBPOP;1987-01-01T00:00:00-02:00;58766853.0;Regiões;3
PIBPOP;1987-01-01T00:00:00-02:00;136780739.0;Brasil;0
PIBPOP;1988-01-01T00:00:00-02:00;180043.0;Estados;14
PIBPOP;1988-01-01T00:00:00-02:00;258443.0;Estados;16
PIBPOP;1988-01-01T00:00:00-02:00;386147.0;Estados;12
PIBPOP;1988-01-01T00:00:00-02:00;958688.0;Estados;11
PIBPOP;1988-01-01T00:00:00-02:00;1396483.0;Estados;28
PIBPOP;1988-01-01T00:00:00-02:00;1486065.0;Estados;53
PIBPOP;1988-01-01T00:00:00-02:00;1668965.0;Estados;50
PIBPOP;1988-01-01T00:00:00-02:00;1786265.0;Estados;51
PIBPOP;1988-01-01T00:00:00-02:00;1920688.0;Estados;13
PIBPOP;1988-01-01T00:00:00-02:00;2275253.0;Estados;24
PIBPOP;1988-01-01T00:00:00-02:00;2369959.0;Estados;27
PIBPOP;1988-01-01T00:00:00-02:00;2444064.0;Estados;32
PIBPOP;1988-01-01T00:00:00-02:00;2461967.0;Estados;22
PIBPOP;1988-01-01T00:00:00-02:00;3084247.0;Estados;25
PIBPOP;1988-01-01T00:00:00-02:00;4294107.0;Estados;42
PIBPOP;1988-01-01T00:00:00-02:00;4530614.0;Estados;15
PIBPOP;1988-01-01T00:00:00-02:00;4646105.0;Estados;52
PIBPOP;1988-01-01T00:00:00-02:00;4677000.0;Estados;21
PIBPOP;1988-01-01T00:00:00-02:00;6074194.0;Estados;23
PIBPOP;1988-01-01T00:00:00-02:00;6860843.0;Estados;26
PIBPOP;1988-01-01T00:00:00-02:00;8226519.0;Estados;41
PIBPOP;1988-01-01T00:00:00-02:00;8234623.0;Regiões;1
PIBPOP;1988-01-01T00:00:00-02:00;8768537.0;Estados;43
